GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
KIF22	"Spondyloepimetaphyseal dysplasia with joint laxity, type 2"	AD	N/A		
KIF5A	Spastic paraplegia 10	AD	N/A		
KIF7	Hydrolethalus syndrome 2; Acrocallosal syndrome; Joubert syndrome 12	AR/Digenic	N/A		
KIRREL3	"Mental retardation, autosomal dominant 4"	AD	N/A		
KISS1	Hypogonadotropic hypogonadism	AR			
KISS1R	"Precocious puberty, central; Hypogonadotropic hypogonadism 8, with or without anosmia"	AD/AR			
KIT	Gastrointestinal stromal tumor	AD			
KITLG	"Hyperpigmentation, familial progressive 2; Skin/hair/eye pigmentation, variation in, 7"	AD	N/A		
KL	"Tumoral calcinosis, hyperphosphatemic"	AR			
KLF1	"Anemia, dyserythropoietic congenital, type IV; Blood group, Lutheran inhibitor"	AD/BG	"Allelic with Hereditary persistence of fetal hemoglobin (AD) (the described proband presented with mild hypochromic, microcytic red cell indices, but no other phenotypic abnormalities were reported)"		
KLF11	"Maturity-onset diabetes of the young, type VII"	AD	N/A		
KLHDC8B	Hodgkin lymphoma	AD			
KLHL10	Spermatogenic failure 11	AD	N/A		
KLHL3	"Pseudohypoaldosteronism, type IID"	AD/AR			
KLHL7	Retinitis pigmentosa 42	AD	N/A		
KLK4	"Amelogenesis imperfecta, type IIA1"	AR	N/A		
KLKB1	Prekallikrein deficiency	AR	N/A		
KLLN	Cowden syndrome 4 	AD			
KMT2D	Kabuki syndrome 	AD			
KNG1	High molecular weight kininogen deficiency	AR	N/A		
KRAS	Noonan syndrome; Cardiofaciocutaneous syndrome	AD			
KRIT1	Cerebral cavernous malformations 1	AD			
KRT1	"Keratosis palmoplantaris striata III; Ichthyosis, cyclic, with epidermolytic hyperkeratosis; Ichthyosis histrix, Curth-Macklin type; Palmoplantar keratoderma, epidermolytic; Palmoplantar keratoderma, nonepidermolytic; Epidermolytic hyperkeratosis"	AD	N/A		
KRT10	"Erythroderma, ichthyosiform, congenital reticular; Aaru disease; Ichthyosis, cyclic, with epidermolytic hyperkeratosis; Epidermolytic hyperkeratosis "	AD/AR	N/A		
KRT12	Meesmann corneal dystrophy	AD	N/A		
KRT13	White sponge nevus	AD	N/A		
KRT14	"Epidermolysis bullosa simplex, autosomal recessive; Naegeli-Franceschetti-Jadassohn syndrome; Dermatopathia pigmentosa reticularis; Epidermolysis bullosa simplex, Koebner type; Epidermolysis bullosa simplex, Weber-Cockayne type; Epidermolysis bullosa simplex, Dowling-Meara type; Naegeli-Franceschetti-Jadassohn syndrome"	AD/AR	N/A		
KRT16	"Palmoplantar keratoderma, nonepidermolytic, focal; Pachyonychia congenita, Jadassohn-Lewandowsky type "	AD	N/A		
KRT17	"Steatocystoma multiplex; Pachyonychia congenita, Jackson-Lawler type; Pachyonychia congenita "	AD	N/A		
KRT2	Ichthyosis bullosa of Siemens; Ichthyosis exfoliativa	AD	N/A		
KRT3	Meesmann corneal dystrophy	AD	N/A		
KRT4	White sponge nevus	AD	N/A		
KRT5	"Epidermolysis bullosa simplex with migratory circinate erythema; Epidermolysis bullosa simplex with mottled pigmentation; Dowling-Degos disease; Epidermolysis bullosa simplex, Koebner type; Epidermolysis bullosa simplex, Weber-Cockayne type; Epidermolysis bullosa simplex, Dowling-Meara type"	AD	N/A		
KRT6A	"Pachyonychia congenita, Jadassohn-Lewandowsky type"	AD	N/A		
KRT6B	"Pachyonychia congenita, Jackson-Lawler type; Pachyonychia congenita"	AD	N/A		
KRT74	"Woolly hair, autosomal dominant; Hypotrichosis 3"	AD	N/A		
KRT75	Pseudofolliculitis barbae	AD	N/A		
KRT81	Monilethrix	AD	N/A		
KRT83	Monilethrix	AD	N/A		
KRT85	"Ectodermal dysplasia 4, hair-nail type"	AR	N/A		
KRT86	Monilethrix	AD	N/A		
KRT9	"Palmoplantar keratoderma, epidermolytic; Knuckle pads"	AD	N/A		
L1CAM	"Hydrocephalus due to congenital stenosis of aqueduct of Sylvius; Mental retardation, aphasia, shuffling gait, and adducted thumbs (MASA) syndrome; CRASH syndrome; Corpus callosum, partial agenesis of; Spastic paraplegia-1"	XL	N/A		
L2HGDH	L-2-hydroxyglutaric aciduria	AR			
LAMA2	"Muscular dystrophy, congenital merosin-deficient, 1A; Schizophrenia"	AD/AR	N/A		
LAMA3	"Laryngoonychocutaneous syndrome; Epidermolysis bullosa, junctional, Herlitz type; Epidermolysis bullosa, generalized atrophic benign "	AR	N/A		
LAMA4	"Cardiomyopathy, dilated, 1JJ"	AD			
LAMB1	Lissencephaly 5	AR	N/A		
LAMB2	"Pierson syndrome; Nephrotic syndrome, type 5, with or without ocular abnormalities"	AR	N/A		
LAMB3	"Epidermolysis bullosa, junctional, Herlitz type; Epidermolysis bullosa, junctional, non-Herlitz type "	AR	N/A		
LAMC2	"Epidermolysis bullosa, junctional, Herlitz type; Epidermolysis bullosa, junctional, non-Herlitz type "	AR	N/A		
LAMC3	"Cortical malformations, occipital"	AR	N/A		
LAMP2	Danon disease	XL			
LAMTOR2	Immunodeficiency due to defect in MAPBP-interacting protein	AR			
LARGE	"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6; Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6 "	AR	N/A		
LARP7	Alazami syndrome	AR	N/A		
LBR	Hydrops-ectopic calcification-moth-eaten skeletal dysplasia; Reynolds syndrome; Pelger-Huet anomaly; Greenberg/HEM skeletal dysplasia	AD	N/A		
LCA5	Leber congenital amaurosis 5	AR	N/A		
LCAT	Lecithin:cholesterol acyltransferase deficiency; Fish-eye disease	AR			
LCT	"Lactase deficiency, congenital"	AR			
LDB3	"Cardiomyopathy, dilated 1C; Left ventricular noncompaction 3, with or without dilated cardiomyopathy; Myopathy, myofibrillar"	AD			
LDHA	Glycogen storage disease XI	AR			
LDHB	Lactate dehydrogenase B deficiency	AR	N/A		
LDLR	"Hypercholesterolemia, familial"	AD/AR			
LDLRAP1	"Hypercholesterolemia, familial, autosomal recessive"	AR			
LEFTY2	Left-right axis malformations	AD	N/A		
LEMD3	Buschke-Ollendorff syndrome; Osteopoikilosis 	AD	N/A		
LEP	Leptin deficiency	AR			
LEPR	Leptin receptor deficiency	AR			
LEPRE1	"Osteogenesis imperfecta, type VIII"	AR	N/A		
LEPREL1	"Myopia, high, with cataract and vitreoretinal degeneration"	AR	N/A		
LFNG	"Spondylocostal dysostosis, autosomal recessive 3"	AR	N/A		
LGI1	"Epilepsy, familial temporal lobe, 1"	AD	N/A		
LHB	"Hypogonadism, hypergonadotropic; Female infertility and oligo-amenorrhea"	AD/AR			
LHCGR	"Leydig cell hypoplasia type I; Leydig cell hypoplasia type II; Luteinizing hormone resistance, female; Precocious puberty, male"	AR			
LHFPL5	"Deafness, autosomal recessive 67"	AR			
LHX3	"Pituitary hormone deficiency, combined, 3"	AR			
LHX4	"Pituitary hormone deficiency, combined, 4"	AD			
LIAS	Pyruvate dehydrogensae lipoic acid synthetase deficiency	AR	N/A		
LIFR	Stuve-Wiedemann syndrome	AR	N/A		
LIG4	LIG4 syndrome; Severe combined immunodeficiency with sensitivity to ionizing radiation	AR			
LIM2	Cataract 19	AR	N/A		
LIPA	Lysosomal acid lipase deficiency	AR			
LIPC	Hepatic lipase deficiency	AR			
LIPH	Hypotrichosis 7	AR	N/A		
LIPI	"Hypertriglyceridemia, familial"	AD			
LIPN	"Ichthyosis, congenital, autosomal recessive 8"	AR	N/A		
LITAF	"Charcot-Marie-Tooth disease, type 1C"	AD	N/A		
LMAN1	Combined factor V and VIII deficiency	AR			
LMBR1	"Acheiropody; Syndactyly, type IV; Triphalangeal thumb, type I; Polydactyly, preaxial type II; Triphalangeal thumb-polysyndactyly syndrome "	AD/AR	N/A		
LMBRD1	"Methylmalonic aciduria and homocystinuria, cblF type"	AR			
LMF1	Combined lipase deficiency	AR			
LMNA	"Cardiomyopathy, dilated, 1A; Heart-hand syndrome, Slovenian type; Emery-Dreiffus muscular dystrophy, autosomal dominant; Emery-Dreiffus muscular dystrophy, autosomal recessive; Muscular dystrophy, congenital, LMNA-related; Limb-girdle muscular dystrophy type 1B; Malouf syndrome; Lipodystrophy, familial partial, 2 (Dunnigan type)"	AD/AR 	"Some allelic conditions, including Hutchinson-Guilford Progeria (AD);  Restrictive dermopathy, lethal (AD); Charcot-Marie-Tooth disease, axonal, type 2B1 (AR); Mandibuloacral dysplasia with type A lipodystrophy (AR); are clinically recognizable, and in these, it is not clear if early (genetic) diagnosis would be additionally beneficial "		
LMNB1	"Leukodystrophy, adult-onset, autosomal dominant"	AD	N/A		
LMX1B	Nail-patella syndrome	AD	Allelic with Focal segmental glomerulosclerosis (AD)		
LOR	"Vohwinkel syndrome, variant form"	AD	N/A		
LOXHD1	"Deafness, autosomal recessive 77"	AR	N/A		
LPA	"Lipoprotein A deficiency, congenital"	AR	N/A		
LPAR6	Hypotrichosis 8	AR	N/A		
LPIN1	"Myoglobinuria, acute, recurrent, autosomal recessive"	AR			
LPIN2	Majeed syndrome	AR			
LPL	"Lipoprotein lipase deficiency; Combined hyperlipidemia, familial; Hyperlipoproteinemia, type I"	AD/AR			
LRAT	"Leber congenital amaurosis 14; Retinitis pigmentosa, juvenile; Retinal-dystrophy, early-onset severe; Retinitis punctata albescens"	AR	N/A		
LRBA	"Common variable immunodeficiency 8, with autoimmunity"	AR			
LRIG2	Urofacial syndrome 2	AR			
LRIT3	"Night blindness, congenital stationary (complete), 1F, autosomal recessive"	AR	N/A		
LRP1	Schizophrenia	AD	N/A		
LRP2	Donnai-Barrow syndrome; Faciooculoacousticorenal syndrome	AR			
LRP4	Cenani-Lenz syndactyly syndrome; Sclerosteosis 2	AD/AR	N/A		
LRP5	"van Buchem disease, type 2; Osteopetrosis, autosomal dominant 1; Osteosclerosis; Hyperostosis, endosteal; Exudative vitreoretinopathy 4; Osteoporosis-pseudoglioma syndrome"	AD/AR/Digenic	N/A		
LRP6	"Coronary artery disease, autosomal dominant 2"	AD			
LRPPRC	"Leigh syndrome, French-Canadian type"	AR	N/A		
LRRC6	"Ciliary dyskinesia, primary 19"	AR			
LRRC8A	Agammaglobulinemia 5	AD			
LRRK2	"Parkinson disease 8; Dementia, Lewy body"	AD	N/A		
LRSAM1	"Charcot-Marie-Tooth disease, axonal, type 2P"	AR	N/A		
LRTOMT	"Deafness, autosomal recessive 63"	AR			
LTBP2	"Glaucoma 3, primary congenital, D; Microspherophakia; Weill-Marchesani sydnrome 3"	AR			
LTBP3	"Tooth agenesis, selective, 6"	AR	N/A		
LTBP4	"Cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities"	AR	N/A		
LTC4S	"Asthma, aspirin-induced, susceptibility to"	AR	 		
LYST	Chediak-Higashi syndrome	AR			
LYZ	"Amyloidosis, systemic nonneuropathic"	AD	N/A		
MAF	"Cataract 21, multiple types"	AD	N/A		
MAFB	Multicentric carpotarsal osteolysis	AD	N/A		
MAGT1	"Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia"	XL	"Allelic with Mental retardation, X-linked (XL) 95"		
MAK	Retinitis pigmentosa 62	AR	N/A		
MAMLD1	"Hypospadias 2, X-linked"	XL	N/A		
MAN1B1	"Mental retardation, autosomal recessive 15"	AR	N/A		
MAN2B1	"Mannosidosis, alpha B, lysosomal"	AR			
MANBA	"Mannosidosis, beta A, lysosomal"	AR	N/A		
MAOA	Brunner syndrome	XL	N/A		
MAP2K1	Cardiofaciocutaneous syndrome	AD			
MAP2K2	Cardiofaciocutaneous syndrome	AD			
MAP3K1	"46,XY Sex Reversal 6"	AD			
MAPK10	"Epileptic encephalopathy, Lennox-Gastaut type"	AD	N/A		
MAPK8IP1	Diabetes mellitus	AD	N/A		
MAPT	"Supranuclear palsy, progressive; Frontotemporal dementia; Parkinson-dementia sydnrome; Pick disease"	AD/AR	N/A		
MARVELD2	"Deafness, autosomal recessive 49"	AR			
MASP1	3MC syndrome 1	AR	N/A		
MASP2	MASP2 deficiency	AR			
MASTL	Thrombocytopenia 2	AD			
MAT1A	Methionine adenosyltransferase deficiency	AD/AR			
MATN3	"Spondyloepimetaphyseal dysplasia, matrilin-3 related; Epiphyseal dysplasia, multiple, 5"	AD/AR	N/A		
MATR3	"Myopathy, distal, 2"	AD	N/A		
MAX	Pheochromocytoma	AD			
MBD5	"Mental retardation, autosomal dominant 1"	AD	N/A		
MBL2	Mannose-binding protein deficiency	AD	 		
MBTPS2	"Keratosis follicularis spinulosa decalvans, X-linked; IFAP syndrome with or without BRESHECK syndrome "	XL	N/A		
MC1R	"Increased analgesia from kappa-opioid receptor agonist, female specific"	AD	"Allelic with Skin/hair/eye pigmentation, variation in, 2 (AD)"		
MC2R	Glucocorticoid deficiency 1	AR			
MC4R	"Obesity, autosomal dominant"	AD	N/A		
MCCC1	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR			
MCCC2	3-Methylcrotonyl-CoA carboxylase 2 deficiency	AR			
MCEE	Methylmalonyl-CoA epimerase deficiency	AR	N/A		
MCFD2	"Factor V & Factor VIII, combined deficiency of"	AR			
MCM6	"Lactose intolerance, adult type; Lactase persistence"	AD	N/A		
MCOLN1	Mucolipidosis IV	AR	N/A		
MCPH1	"Microcephaly, primary autosomal recessive, 1"	AR	N/A		
MECP2	"Rett syndrome; Encephalopathy, neonatal severe, due to MECP2 mutations; Autism, X-linked 3; Lubs X-linked mental retardation 13; Angelman-like syndrome"	XL	N/A		
MED12	"Lujan-Fryns syndrome; Opitz-Kaveggia syndrome; Mental retardation, X-linked, with Marfanoid habitus; FG syndrome; Ohdo syndrome"	XL	N/A		
MED13L	"Transposition of the great arteries, dextro-looped 1; Congenital heart defects and intellectual disability; Intellectual disability, autosomal recessive"	AD/AR	N/A		
MED17	"Microcephaly, postnatal progressive, with seizures and brain atrophy"	AR	N/A		
MED23	"Mental retardation, autosomal recessive 18"	AR	N/A		
MED25	"Charcot-Marie-Tooth disease, axonal, tybe 2B2"	AR	N/A		
MEF2C	"Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations"	AD	N/A		
MEFV	"Familial Mediterranean fever, AR"	AD/AR			
MEGF10	"Myopathy, early-onset, areflexia, respiratory distress, and dysphagia"	AR	N/A		
MEGF8	Carpenter syndrome 2	AR	N/A		
MEN1	"Multiple endocrine neoplasia type I; Hyperparathyroidism, familial primary"	AD			
MERTK	Retinitis pigmentosa 38	AD/AR	N/A		
MESP2	"Spondylocostal dysostosis, autosomal recessive 2"	AR	N/A		
MET	"Renal cell carcinoma, papillary"	AD			
MFN2	"Charcot-Marie-Tooth disease, type 2A2; Hereditary motor and sensory neuropathy VI"	AD/AR	N/A		
MFRP	"Microphthalmia, isolated 5; Nanophthalmos 2; Retinitis pigmentosa, autosomal recessive"	AR	N/A		
MFSD8	"Ceroid lipofuscinosis, neuronal, 7"	AR	N/A		
MGAT2	"Congenital disorder of glycosylation, type IIa"	AR			
MGME1	Mitochondrial DNA depletion syndrome 11	AR			
MGP	Keutel syndrome	AR	N/A		
MIB1	Left ventricular noncompaction 7	AD			
MID1	Opitz GBBB syndrome	XL	N/A		
MIP	"Cataract 15, multiple types"	AD	N/A		
MIR17HG	Feingold syndrome 2	AD	N/A		
MIR184	Keratoconus with cataract	AD	N/A		
MIR96	"Deafness, autosomal dominant 50"	AD			
MITF	"Waardenburg syndrome, type 2A; Tietz albinism-deafness syndrome"	AD	"Variants may be associated with Melanoma, cutaneous malignant, susceptibility to, 8 (AD); Renal cell carcinoma with or without malignant melanoma (AD) (The OR of melanoma and/or RCC has been reported as >14 in one study) (AD)"		
MKKS	McKusick-Kaufman syndrome; Bardet-Biedl syndrome 6	AR 	N/A		
MKRN3	Central precocious puberty	AD	N/A		
MKS1	"Meckel syndrome, type 1; Bardet-Biedl syndrome 13"	AR 	N/A		
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts	AR	N/A		
MLH1	"Colorectal cancer, hereditary nonpolyposis, type 2; Mismatch repair cancer syndrome; Endometrial cancer; Muir-Torre syndrome"	AD			
MLH3	"Colorectal cancer, hereditary nonpolyposis type 7; Endometrial carcinoma"	AD			
MLPH	"Griscelli syndrome, type 3"	AR	N/A		
MLYCD	Malonyl-CoA decarboxylase deficiency	AR			
MMAA	"Methylmalonic acidemia, cblA type"	AR			
MMAB	"Methylmalonic acidemia, cblB type"	AR			
MMACHC	"Methylmalonic aciduria and homocystinuria, cblC type"	AR			
MMADHC	"Methylmalonic aciduria and homocystinuria, cblD type"	AR			
MMP13	"Spondyloepimetaphyseal dysplasia, Missouri type; Metaphyseal anadysplasia 1 "	AD/AR	N/A		
MMP2	Torg-Winchester syndrome; Nodulosis-arthropathy-osteolysis	AR	N/A		
MMP20	"Amelogenesis imperfecta, hypomaturation type, IIA2"	AR	N/A		
MMP9	Metaphyseal anadysplasia 2	AR	N/A		
MN1	"Meningioma, familial"	AD			
MNX1	Currarino syndrome	AD			
MOCS1	"Molybdenum cofactor deficiency, type A"	AR			
MOCS2	"Molybdenum cofactor deficiency, type B"	AR	N/A		
MOG	Narcolepsy 7	AD	N/A		
MOGS	"Congenital disorder of glycosylation, type IIb"	AR			
MPC1	Mitochondrial pyruvate carrier deficiency	AR	N/A		
MPDU1	"Congenital disorder of glycosylation, type If"	AR			
MPDZ	"Hydrocephalus, nonsyndromic, autosomal recessive 2"	AR	N/A		
MPI	"Congenital disorder of glycosylation, type Ib "	AR			
MPL	Thrombocythemia 2; Amegakaryocytic thrombocytopenia	AD/AR			
MPLKIP	"Trichothiodystrophy, nonphotosensitive 1"	AR	N/A		
MPO	Myeloperoxidase deficiency	AR			
MPV17	Mitochondrial DNA depletion syndrome 6 (hepatocerebral type)	AR			
MPZ	"Charcot-Marie-Tooth disease, dominant intermediate 3; Charcot-Marie-Tooth disease, axonal, type 2J; Charcot-Marie-Tooth disease, axonal, type 2I; Neuropathy, congenital hypomyelinating; Roussy-Levy syndrome; Dejerine-Sottas disease; Charcot-Marie-Tooth disease, type 1B "	AD	N/A		
MR1	Paroxysmal nonkinesigenic dyskinesia	AD	N/A		
MRAP	Glucocorticoid deficiency 2	AR			
MRE11A	Ataxia-telangiectasia-like disorder	AR	N/A		
MRPL3	Combined oxidative phosphorylation deficiency 9	AR	N/A		
MRPL44	"Mitochondrial cardiomyopathy, autosomal recessive"	AR			
MRPS16	Combined oxidative phosphorylation deficiency 2	AR	N/A		
MRPS22	Combined oxidative phosphorylation deficiency 5	AR	N/A		
MS4A1	"Immunodeficiency, common variable, 5"	AR			
MSH2	"Colorectal cancer, hereditary nonpolyposis, type 1; Endometrial cancer; Mismatch repair cancer syndrome; Muir-Torre syndrome"	AD/AR			
MSH3	Endometrial carcinoma	AD			
MSH6	"Colorectal cancer, hereditary nonpolyposis type 5; Mismatch repair cancer syndrome; Endometrial cancer"	AD			
MSR1	Barrett esophagus/esophageal adenocarcinoma; Prostate cancer	AD			
MSRB3	"Deafness, autosomal recessive 74"	AR			
MSTN	Muscle hypertrophy	AR	N/A		
MSX1	"Orofacial cleft 5; Tooth agenesis, selective, 1, with/without orofacial cleft; Witkop syndrome"	AD/AR	N/A		
MSX2	"Craniosynostosis, type 2; Parietal foramina with cleidocranial dysplasia; Parietal foramina"	AD	N/A		
MT-ATP6	"Neuropathy, ataxia, and retinitis pigmentosa; Leber hereditary optic neuropathy; Ataxia and polyneuropathy, adult-onset; Cardiomyopathy, infantile hypertrophic; Leigh syndrome; Striatonigral degeneration, infantile, mitochondrial"	Maternal	N/A		
MT-ATP8	"Brain pseudoatrophy, reversible, valproate-induced, susceptibility to"	Maternal	"Allelic with Cardiomyopathy, apical hypertrophic,  and neuropathy (Maternal); Cardiomyopathy, infantile hypertrophic"		
MT-CO1	"Deafness, mitochondrial"	Maternal	"Allelic with Myoglobinuria, recurrent (maternal); Leber hereditary optic neuropathy (maternal); Sideroblastic anemia (maternal); Cytochrome C oxidase deficiency (maternal)"		
MT-ND1	"Deafness, mitochondrial"	Maternal	" Allelic with  Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes (Maternal); Leber hereditary optic neuropathy (Maternal); Leber optic atrophy and dystonia (Maternal)"		
MT-ND2	Leber hereditary optic neuropathy; Mitochondrial complex I deficiency	Maternal	N/A		
MT-ND3	Leber optic atrophy and dystonia; Mitochondrial complex I deficiency	Maternal	N/A		
MT-ND4	Leber hereditary optic neuropathy; Leber optic atrophy and dystonia; Mitochondrial complex I deficiency	Maternal	N/A		
MT-ND4L	Leber hereditary optic neuropathy	Maternal	N/A		
MT-ND5	"Myoclonic epilepsy with ragged red fibers; Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Leber hereditary optic neuropathy; Mitochondrial complex I deficiency"	Maternal	N/A		
MT-ND6	"Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes; Oncocytoma; Leber hereditary optic neuropathy; Leber optic atrophy and dystonia; Mitochondrial complex I deficiency"	Maternal	N/A		
MT-RNR1	"Deafness, mitochondrial"	Maternal			
MT-RNR2	Chloramphenicol toxicity/resistance	Maternal	 		
MT-TC	"Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes"	Maternal	N/A		
MT-TE	"Diabetes-deafness syndrome; Mitochondrial myopathy, infantile, transient; Mitochondrial myopathy with diabetes"	Maternal	N/A		
MT-TF	"Myoclonic epilepsy with ragged red fibers; Nephropathy, tubulointerstitial; Encephalopathy, mitochondrial; Epilepsy, mitochondrial; Myopathy, mitochondrial; Mitochondrial encephalomyopathy with lactic acidosis and stroke-like episodes"	Maternal	N/A		
MT-TS1	Deafness	Maternal	"Allelic with Myoclonic epilepsy with ragged red fibers (maternal); Mitochondrial myopathy, encephalopathy, lactic acidosis, and stroke-like episodes (maternal)"		
MTAP	Diaphyseal medullary stenosis with malignant fibrous histiocytoma	AD			
MTFMT	Combined oxidative phosphorylation deficiency 15	AR			
MTHFD1	Severe combined immunodeficiency	AR			
MTHFR	Homocystinuria due to MTHFR deficiency	AR			
MTM1	"Myopathy, centronuclear, X-linked"	XL			
MTMR2	"Charcot-Marie-Tooth disease, type 4B1"	AR	N/A		
MTO1	Combined oxidative phosphorylation deficiency 10	AR			
MTPAP	"Ataxia, spastic, 4, autosomal recessive"	AR	N/A		
MTR	"Methylmalonic acidemia, cblG type"	AR			
MTRR	"Homocystinuria-megaloblastic anemia, cobalamin E type"	AR			
MTTP	Abetalipoproteinemia	AR			
MUSK	"Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency"	AR			
MUT	Methylmalonic acidemia due to methylmalonyl-CoA mutase deficiency	AR			
MUTYH	"Familial adenomatous polyposis, 2; Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas "	AR			
MVK	Mevalonic aciduria; Hyper-IgD syndrome	AR	"Allelic with Porokeratosis 3, disseminated superficial actinic (AD)"		
MYBPC1	"Arthrogryposis, distal, type 1B; Lethal congenital contractural syndrome 4"	AD/AR	N/A		
MYBPC3	"Cardiomyopathy, familial hypertrophic, 4; Cardiomyopathy, dilated"	AD/AR			
MYCN	Feingold syndrome	AD	N/A		
MYD88	MYD88 deficiency	AR			
MYF6	"Myopathy, centronuclear, 3"	AD	N/A		
MYH11	"Aortic aneurysm, familial thoracic 4"	AD			
MYH14	"Deafness, autosomal dominant 4; Deafness, autosomal dominant 4B; Peripheral neuropathy, myopathy, hoarseness, and hearing loss"	AD	N/A		
MYH2	Inclusion body myopathy 3	AD	N/A		
MYH3	"Arthrogryposis, distal, type 2A; Arthyrgryposis, distal, type 2B"	AD	N/A		
MYH6	"Cardiomyopathy, dilated, 1EE; Cardiomyopathy, familial hypertrophic 14"	AD	Allelic with Atrial septal defect 3 (AD)		
MYH7	"Cardiomyopathy, dilated, 1S; Cardiomyopathy, familial hypertrophic; Myopathy, distal "	AD	"Allelic with Myopathy, myosin storage (AD);  Myopathy, scapuloperoneal (AD); Laing distal myopathy (AD)"		
MYH8	"Carney complex variant; Arthrogryposis, distal, type 7; Trismus-pseudocamptodactyly syndrome "	AD	N/A		
MYH9	Sebastian syndrome; May-Hegglin anomaly; Fechtner syndrome; Epstein syndrome	AD	"Allelic with Deafness, autosomal dominant 17 (AD)"		
MYL2	"Cardiomyopathy, familial hypertrophic, 10"	AD	Allelic with Infantile type I muscle fibre disease and cardiomyopathy (AR)		
MYL3	"Cardiomyopathy, familial hypertrophic, 8"	AD/AR			
MYLK	"Aortic aneurysm, familial thoracic 7"	AD			
MYLK2	"Cardiomyopathy, hypertrophic"	AD/Digenic			
MYO15A	"Deafness, autosomal recessive 3"	AR			
MYO1A	"Deafness, autosomal dominant 48"	AD			
MYO1E	Focal segmental glomerulosclerosis 6	AR	N/A		
MYO3A	"Deafness, autosomal recessive 30"	AR	"Allelic with Deafness, autosomal dominant 30 (AD) (which may have postlingual onset)"		
MYO5A	"Griscelli syndrome, type 1"	AR	N/A		
MYO5B	Microvillus inclusion disease	AR			
MYO6	"Deafness, autosomal recessive 37"	AR	"Allelic with Deafness, autosomal dominant, 22 (AD), which has later onset"		
MYO7A	"Deafness, autosomal recessive 2; Usher syndrome, type 1B"	AR	"Allellic with Deafness, autosomal dominant 11 (AD)"		
MYOC	"Glaucoma, primary open angle, juvenile-onset"	AD/AR/Digenic			
MYOT	"Myopathy, myofibrillar, 3"	AD	"Allelic with Limb-girdle muscular dystrophy, 1A (AD); Myopathy, spheroid body (AD)"		
MYOZ2	"Cardiomyopathy, familial hypertrophic, 16"	AD			
MYPN	"Cardiomyopathy, dilated, 1KK; Cardiomyopathy, familial hypertrophic, 22; Cardiomyopathy, familial restrictive, 4"	AD			
NAA10	N-terminal acetyltransferase deficiency (Ogden syndrome)	XL			
NAGA	Kanzaki disease; Alpha-n-acetylgalactosaminidase deficiency; Schindler disease type I; Schindler disease type III	AR	N/A		
NAGLU	Mucopolysaccharidosis type IIIB (Sanfilippo syndrome B)	AR	N/A		
NAGS	N-acetylglutamate synthase deficiency	AR			
NAT1	"Acetylation, NAT1-related"	AD	 		
NAT2	"Acetylation, NAT2-related"	AD	 		
NAT8L	N-acetylaspartate deficiency	AR	N/A		
NBAS	"Short stature, optic nerve atrophy, and Pelger-Huet anomaly (SOPH syndrome)"	AR	N/A		
NBEAL2	Gray platelet syndrome	AR			
NBN	Nijmegen breakage syndrome; Aplastic anemia	AR			
NCF1	"Chronic granulomatous disease, autosomal recessive, cytochrome b-positive, type I"	AR			
NCF2	"Chronic granulomatous disease, autosomal recessive, cytochrome b-positive, type II"	AR			
NCF4	"Granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type III"	AR			
NCSTN	"Acne inversa, familial 1"	AD	N/A		
NDE1	Lissencephaly 4	AR	N/A		
NDP	"Norrie disease; Exudative vitreoretinopathy, 2, X-linked "	XL	N/A		
NDRG1	"Charcot-Marie-Tooth disease, type 4D"	AR	N/A		
NDUFA1	Mitochondrial complex I deficiency	XL	N/A		
NDUFA10	Mitochondrial complex I deficiency	AR	N/A		
NDUFA11	Mitochondrial complex I deficiency	AR	N/A		
NDUFA12	Leigh syndrome	AR	N/A		
NDUFA13	"Thyroid carcinoma, Hurthle cell"	AD			
NDUFA2	Mitochondrial complex I deficiency; Leigh syndrome	AR	N/A		
NDUFA9	Leigh syndrome	AR	N/A		
NDUFAF1	Mitochondrial complex I deficiency	AR	N/A		
NDUFAF2	Mitochondrial complex I deficiency	AR	N/A		
NDUFAF3	Mitochondrial complex I deficiency	AR	N/A		
NDUFAF4	Mitochondrial complex I deficiency	AR	N/A		
NDUFAF5	Mitochondrial complex I deficiency	AR	N/A		
NDUFAF6	Leigh syndrome	AR	N/A		
NDUFB3	Mitochondrial complex I deficiency	AR	N/A		
NDUFS1	Mitochondrial complex I deficiency	AR	N/A		
NDUFS2	Mitochondrial complex I deficiency	AR	N/A		
